QS类别,菌株名,QS值,Excel行号
中qs,hd3,0.438356164383562,2
中qs,hd1,0.388127853881278,2
中qs,hd5,0.388127853881278,2
中qs,2-1-24,0.32420091324201,4
中qs,t46,0.26027397260274,2
中qs,hd21,0.26027397260274,2
中qs,1,0.255707762557078,4
中qs,2,0.255707762557078,4
中qs,1-4-7,0.251141552511415,4
中qs,r6829,0.242009132420092,2
中qs,hd17,0.237442922374429,2
中qs,4.0,0.237442922374429,2
中qs,3,0.237442922374429,4
中qs,1-3-4,0.232876712328767,4
中qs,2-4-17,0.232876712328767,4
中qs,1-2-17,0.232876712328767,4
中qs,b3,0.228310502283105,2
低qs,2-3-18,0.214611872146119,10
低qs,o3,0.214611872146119,10
低qs,hd13,0.210045662100456,6
低qs,hd20,0.210045662100456,6
低qs,2-2-7,0.210045662100456,10
低qs,1-4-30,0.210045662100456,10
低qs,hd16,0.205479452054795,6
低qs,1-4-29,0.205479452054795,6
低qs,14,0.205479452054795,8
低qs,15,0.205479452054795,8
低qs,2-2-12,0.205479452054795,10
低qs,2-4-16,0.200913242009133,10
低qs,8,0.19634703196347,6
低qs,恶臭,0.19634703196347,6
低qs,1-2-35,0.19634703196347,8
低qs,c5,0.19634703196347,8
低qs,1-3-15,0.19634703196347,10
低qs,7,0.191780821917808,6
低qs,1-3-27,0.187214611872147,8
低qs,x8,0.187214611872147,8
低qs,hd2,0.187214611872147,8
低qs,x6,0.187214611872147,10
低qs,hd22,0.182648401826484,8
低qs,hd14,0.168949771689497,6
强qs,35,1.37899543378996,0
强qs,hd4,1.37899543378996,0
强qs,hd10,1.34246575342466,0
强qs,hd18,0.762557077625571,0
强qs,hd9,0.634703196347032,0
强qs,hd7,0.575342465753425,0
强qs,hd24,0.575342465753425,0
强qs,hd11,0.493150684931507,0
强qs,20.0,0.465753424657534,0
无qs,9,0.187214611872147,12
无qs,13,0.178082191780822,12
无qs,5,0.17351598173516,12
无qs,hd19,0.17351598173516,12
无qs,sa8,0.168949771689497,12
无qs,11,0.168949771689497,12
无qs,6,0.0913242009132424,12
